,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
183,2020-04-21,21,4,2020,35,2,Afghanistan,AF,AFG,38041757.0,Asia,1.82431111
184,2020-04-20,20,4,2020,88,3,Afghanistan,AF,AFG,38041757.0,Asia,1.83219718
185,2020-04-19,19,4,2020,63,0,Afghanistan,AF,AFG,38041757.0,Asia,1.67710445
186,2020-04-18,18,4,2020,51,1,Afghanistan,AF,AFG,38041757.0,Asia,1.60350112
187,2020-04-17,17,4,2020,10,4,Afghanistan,AF,AFG,38041757.0,Asia,1.46943791
188,2020-04-16,16,4,2020,70,2,Afghanistan,AF,AFG,38041757.0,Asia,1.55618469
189,2020-04-15,15,4,2020,49,2,Afghanistan,AF,AFG,38041757.0,Asia,1.44052232
190,2020-04-14,14,4,2020,58,3,Afghanistan,AF,AFG,38041757.0,Asia,1.37743375
191,2020-04-13,13,4,2020,52,0,Afghanistan,AF,AFG,38041757.0,Asia,1.29594435
192,2020-04-12,12,4,2020,34,3,Afghanistan,AF,AFG,38041757.0,Asia,1.18028197
193,2020-04-11,11,4,2020,37,0,Afghanistan,AF,AFG,38041757.0,Asia,1.13033686
194,2020-04-10,10,4,2020,61,1,Afghanistan,AF,AFG,38041757.0,Asia,1.07513436
195,2020-04-09,9,4,2020,56,3,Afghanistan,AF,AFG,38041757.0,Asia,0.91478425
196,2020-04-08,8,4,2020,30,4,Afghanistan,AF,AFG,38041757.0,Asia,0.85432437
197,2020-04-07,7,4,2020,38,0,Afghanistan,AF,AFG,38041757.0,Asia,0.78072104
198,2020-04-06,6,4,2020,29,2,Afghanistan,AF,AFG,38041757.0,Asia,0.69660295
199,2020-04-05,5,4,2020,35,1,Afghanistan,AF,AFG,38041757.0,Asia,0.64665783
200,2020-04-04,4,4,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55465367
201,2020-04-03,3,4,2020,43,0,Afghanistan,AF,AFG,38041757.0,Asia,0.55991105
202,2020-04-02,2,4,2020,26,0,Afghanistan,AF,AFG,38041757.0,Asia,0.44687736
203,2020-04-01,1,4,2020,25,0,Afghanistan,AF,AFG,38041757.0,Asia,0.37853141
204,2020-03-31,31,3,2020,27,0,Afghanistan,AF,AFG,38041757.0,Asia,0.31544284
205,2020-03-30,30,3,2020,8,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25761166
206,2020-03-29,29,3,2020,15,1,Afghanistan,AF,AFG,38041757.0,Asia,0.25235427
207,2020-03-28,28,3,2020,16,1,Afghanistan,AF,AFG,38041757.0,Asia,0.22080999
208,2020-03-27,27,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.18663702
209,2020-03-26,26,3,2020,33,0,Afghanistan,AF,AFG,38041757.0,Asia,0.19452309
210,2020-03-25,25,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.1077763
211,2020-03-24,24,3,2020,6,1,Afghanistan,AF,AFG,38041757.0,Asia,0.10251892
212,2020-03-23,23,3,2020,10,0,Afghanistan,AF,AFG,38041757.0,Asia,0.08674678
213,2020-03-22,22,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
214,2020-03-21,21,3,2020,2,0,Afghanistan,AF,AFG,38041757.0,Asia,0.06045988
215,2020-03-20,20,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0552025
216,2020-03-19,19,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
217,2020-03-18,18,3,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,0.05783119
218,2020-03-17,17,3,2020,5,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0552025
219,2020-03-16,16,3,2020,6,0,Afghanistan,AF,AFG,38041757.0,Asia,0.04205905
220,2020-03-15,15,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0262869
221,2020-03-11,11,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01840083
222,2020-03-08,8,3,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,0.01051476
223,2020-03-02,2,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
224,2020-03-01,1,3,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
225,2020-02-29,29,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
226,2020-02-28,28,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
227,2020-02-27,27,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
228,2020-02-26,26,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
229,2020-02-25,25,2,2020,1,0,Afghanistan,AF,AFG,38041757.0,Asia,0.00262869
230,2020-02-24,24,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
231,2020-02-23,23,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
232,2020-02-22,22,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
233,2020-02-21,21,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
234,2020-02-20,20,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
235,2020-02-19,19,2,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,0.0
